Crop,Category,Growing_Season,Ideal_Temperature_C,Ideal_Rainfall_mm,Water_Requirement,Major_Growing_States,Avg_Yield_tonnes_per_ha,Shelf_Life_Ambient_days,Shelf_Life_ColdStorage_days,Perishability,Local_Demand,Export_Demand,Transport_Cost_Index_1to10,MSP_Support,Price_Volatility,Storage_Type_Required
Rice (Paddy),Cereal,Kharif,20-35,1000-1500,High,"West Bengal, Punjab, Uttar Pradesh, Andhra Pradesh, Telangana, Tamil Nadu",2.9,365,540,Low,Very High,High,3,Yes,Low,Warehouse/Silo
Wheat,Cereal,Rabi,10-25,400-800,Medium,"Uttar Pradesh, Punjab, Haryana, Madhya Pradesh, Rajasthan",3.5,365,540,Low,Very High,Medium,2,Yes,Low,Warehouse/Silo
Maize,Cereal,Kharif/Rabi,21-27,500-800,Medium,"Madhya Pradesh, Karnataka, Bihar, Uttar Pradesh, Rajasthan",3.2,270,450,Low,High,Medium,3,Yes,Medium,Warehouse
Bajra (Pearl Millet),Cereal,Kharif,25-35,400-600,Low,"Rajasthan, Maharashtra, Uttar Pradesh, Gujarat, Haryana",1.5,300,450,Low,Medium,Low,2,Yes,Low,Warehouse
Jowar (Sorghum),Cereal,Kharif/Rabi,25-32,400-750,Low,"Maharashtra, Karnataka, Madhya Pradesh, Telangana",1.0,300,450,Low,Medium,Low,2,Yes,Low,Warehouse
Ragi (Finger Millet),Cereal,Kharif,20-30,500-1000,Low-Medium,"Karnataka, Tamil Nadu, Uttarakhand, Odisha",1.7,300,450,Low,Low-Medium,Low,2,Yes,Low,Warehouse
Barley,Cereal,Rabi,10-20,300-600,Low-Medium,"Rajasthan, Uttar Pradesh, Madhya Pradesh, Haryana",2.8,300,450,Low,Low,Low,2,Partial,Low,Warehouse
Chickpea (Gram),Pulse,Rabi,10-25,600-1000,Low-Medium,"Madhya Pradesh, Rajasthan, Maharashtra, Uttar Pradesh, Karnataka",1.1,365,540,Low,Very High,Medium,2,Yes,Medium-High,Warehouse
Pigeon Pea (Tur/Arhar),Pulse,Kharif,20-30,600-1000,Medium,"Maharashtra, Karnataka, Madhya Pradesh, Uttar Pradesh",0.85,300,450,Low,Very High,Low,2,Yes,High,Warehouse
Black Gram (Urad),Pulse,Kharif/Rabi,25-35,600-750,Medium,"Madhya Pradesh, Maharashtra, Rajasthan, Uttar Pradesh",0.6,300,450,Low,High,Low,2,Yes,Medium-High,Warehouse
Green Gram (Moong),Pulse,Kharif/Zaid,25-35,400-700,Low-Medium,"Rajasthan, Maharashtra, Karnataka, Madhya Pradesh",0.55,300,450,Low,High,Low,2,Yes,Medium,Warehouse
Lentil (Masoor),Pulse,Rabi,10-25,350-500,Low,"Madhya Pradesh, Uttar Pradesh, West Bengal, Bihar",0.9,300,450,Low,High,Low,2,Yes,Medium,Warehouse
Groundnut,Oilseed,Kharif,25-30,500-1000,Medium,"Gujarat, Rajasthan, Tamil Nadu, Andhra Pradesh",1.9,180,300,Medium,High,Medium,3,Yes,Medium,Warehouse
Mustard/Rapeseed,Oilseed,Rabi,10-25,300-400,Low,"Rajasthan, Haryana, Madhya Pradesh, Uttar Pradesh",1.5,300,450,Low,Very High,Low,2,Yes,Medium,Warehouse
Soybean,Oilseed,Kharif,20-30,600-1000,Medium,"Madhya Pradesh, Maharashtra, Rajasthan",1.2,300,450,Low,High,Medium,2,Yes,Medium-High,Warehouse
Sunflower,Oilseed,Kharif/Rabi,20-25,500-750,Medium,"Karnataka, Andhra Pradesh, Maharashtra",0.7,300,450,Low,Medium,Low,2,Yes,Medium,Warehouse
Sesame (Til),Oilseed,Kharif,25-35,400-650,Low,"West Bengal, Rajasthan, Gujarat, Madhya Pradesh",0.45,300,450,Low,Medium,High,2,Yes,Medium-High,Warehouse
Castor,Oilseed,Kharif,20-30,500-700,Low-Medium,"Gujarat, Rajasthan, Andhra Pradesh",1.7,300,450,Low,Medium,High,2,No,Medium-High,Warehouse
Cotton,Cash Crop,Kharif,21-30,600-1000,Medium-High,"Gujarat, Maharashtra, Telangana, Rajasthan",0.45,365,450,Low,Very High,High,3,Yes,High,Warehouse
Sugarcane,Cash Crop,Annual/Perennial,20-35,1000-1500,Very High,"Uttar Pradesh, Maharashtra, Karnataka, Tamil Nadu",80.0,1,2,Very High,Very High,Medium,5,Yes,Low-Medium,None (mill same-day)
Jute,Cash Crop,Kharif,24-37,1200-1500,High,"West Bengal, Bihar, Assam",2.5,365,450,Low,Medium,Medium,3,Yes,Low-Medium,Warehouse
Tobacco,Cash Crop,Rabi/Kharif,20-30,600-1000,Medium,"Andhra Pradesh, Gujarat, Karnataka",1.8,365,450,Low,Medium,High,3,No,Medium,Warehouse
Potato,Vegetable,Rabi,15-25,500-700,Medium-High,"Uttar Pradesh, West Bengal, Bihar, Punjab, Gujarat",23.0,18,210,High,Very High,Low-Medium,4,No,High,Cold Chain
Onion,Vegetable,Rabi/Kharif,15-25,650-750,Medium,"Maharashtra, Karnataka, Madhya Pradesh, Gujarat",17.0,75,150,Medium-High,Very High,High,4,No,Very High,Ambient (cured)/Cold Chain
Tomato,Vegetable,Kharif/Rabi,20-27,600-800,Medium,"Andhra Pradesh, Madhya Pradesh, Karnataka, West Bengal",25.0,6,18,Very High,Very High,Low,6,No,Very High,Cold Chain
Brinjal (Eggplant),Vegetable,Kharif/Rabi,21-30,600-800,Medium,"West Bengal, Odisha, Gujarat, Bihar",18.0,6,18,High,High,Low,5,No,Medium-High,Cold Chain
Cabbage,Vegetable,Rabi,15-20,400-500,Medium,"West Bengal, Odisha, Bihar, Madhya Pradesh",28.0,12,75,Medium,High,Low,4,No,Medium,Cold Chain
Cauliflower,Vegetable,Rabi,15-20,400-500,Medium,"West Bengal, Bihar, Madhya Pradesh, Odisha",19.0,6,35,High,High,Low,5,No,Medium-High,Cold Chain
Okra (Bhindi),Vegetable,Kharif/Zaid,24-30,500-700,Medium,"Gujarat, West Bengal, Bihar, Uttar Pradesh",13.0,3,9,Very High,High,Low,7,No,Medium-High,Cold Chain
Green Peas,Vegetable,Rabi,10-20,400-500,Medium,"Uttar Pradesh, Madhya Pradesh, Punjab, West Bengal",10.0,4,18,High,High,Low,6,No,Medium,Cold Chain
Carrot,Vegetable,Rabi,15-20,400-500,Medium,"Haryana, Punjab, Uttar Pradesh, Karnataka",20.0,12,75,Medium,Medium,Low,4,No,Medium,Cold Chain
Cucumber,Vegetable,Zaid/Kharif,24-30,400-600,Medium,"West Bengal, Odisha, Gujarat, Bihar",15.0,5,12,High,Medium,Low,6,No,Medium,Cold Chain
Green Chilli,Vegetable,Kharif,20-30,600-800,Medium,"Andhra Pradesh, Karnataka, Maharashtra, West Bengal",9.0,5,18,High,High,Medium,6,No,High,Cold Chain
Garlic,Vegetable,Rabi,15-25,400-500,Low-Medium,"Madhya Pradesh, Rajasthan, Gujarat, Uttar Pradesh",6.5,105,210,Low-Medium,High,Medium,3,No,High,Ambient (cured)/Cold Chain
Ginger,Vegetable,Kharif,20-30,1500-2000,High,"Kerala, Karnataka, Meghalaya, Odisha",4.5,37,150,Medium,High,High,4,No,High,Cold Chain
Mango,Fruit,Perennial (summer harvest),24-30,750-2500,Medium,"Uttar Pradesh, Andhra Pradesh, Karnataka, Bihar",8.0,6,25,High,Very High,High,5,No,High,Cold Chain
Banana,Fruit,Perennial,15-35,1200-2200,High,"Maharashtra, Tamil Nadu, Gujarat, Andhra Pradesh",35.0,6,25,High,Very High,Medium,5,No,Medium,Cold Chain/Ripening Chamber
Grapes,Fruit,Perennial,15-35,500-800,Medium,"Maharashtra, Karnataka, Andhra Pradesh",22.0,6,45,High,High,High,6,No,High,Cold Chain
Apple,Fruit,Perennial (temperate),10-20,1000-1250,Medium,"Jammu & Kashmir, Himachal Pradesh, Uttarakhand",9.0,21,210,Medium,Very High,Low,5,No,Medium,Cold Chain (CA storage)
Papaya,Fruit,Perennial,22-32,1000-1500,Medium,"Andhra Pradesh, Karnataka, Gujarat, Maharashtra",40.0,5,18,High,High,Low,5,No,Medium,Cold Chain
Guava,Fruit,Perennial,15-30,700-1500,Medium,"Uttar Pradesh, Bihar, Madhya Pradesh, Maharashtra",14.0,5,18,High,Medium,Low,5,No,Medium,Cold Chain
Pomegranate,Fruit,Perennial,15-35,500-700,Low-Medium,"Maharashtra, Karnataka, Gujarat",10.0,18,75,Medium,High,High,4,No,High,Cold Chain
Orange/Mandarin,Fruit,Perennial,15-30,1000-1500,Medium,"Maharashtra (Nagpur), Madhya Pradesh, Andhra Pradesh",11.0,18,50,Medium,High,Medium,4,No,Medium,Cold Chain
Watermelon,Fruit,Zaid,24-30,400-600,Medium,"Uttar Pradesh, Andhra Pradesh, Karnataka, Maharashtra",30.0,18,25,Medium,High,Low,5,No,High,Ambient/Cold Chain
